ZIP,Population,NonHispanic,Hispanic,%Hispanic,Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%,OTHERS,%,Other Central American,%, Other South American,%,Other Hispanic,%,Spaniard,Spanish,Spanish American,All other Hispanic
32444,18985,18261,724,0.04,234,0.32,198,0.27,49,0.07,12,0.02,2,0.00,12,0.02,25,0.03,11,0.02,16,0.02,14,0.02,4,0.01,8,0.01,2,0.00,16,0.02,2,0.00,0,0.00,10,0.01,0,0.00,8,0.01,101,0.14,1,0.00,0,0.00,100,0.14,36,17,0,47
32445,2644,2343,301,0.11,114,0.38,16,0.05,47,0.16,3,0.01,0,0.00,2,0.01,2,0.01,0,0.00,0,0.00,2,0.01,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,113,0.38,1,0.00,0,0.00,112,0.37,0,0,0,112
32446,11075,10409,666,0.06,338,0.51,106,0.16,70,0.11,8,0.01,1,0.00,54,0.08,6,0.01,6,0.01,1,0.00,6,0.01,0,0.00,0,0.00,2,0.00,12,0.02,1,0.00,0,0.00,3,0.00,0,0.00,10,0.02,42,0.06,0,0.00,0,0.00,42,0.06,9,10,0,23
32447,78,77,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00,0,0,0,1
32448,8684,8497,187,0.02,61,0.33,64,0.34,18,0.10,6,0.03,0,0.00,3,0.02,2,0.01,0,0.00,1,0.01,1,0.01,3,0.02,0,0.00,0,0.00,10,0.05,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,17,0.09,0,0.00,0,0.00,17,0.09,1,2,1,13
32449,478,465,13,0.03,10,0.77,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.23,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0
32455,4736,4655,81,0.02,30,0.37,9,0.11,17,0.21,0,0.00,0,0.00,0,0.00,10,0.12,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,12,0.15,0,0.00,0,0.00,12,0.15,3,0,0,9
32456,6966,6800,166,0.02,89,0.54,14,0.08,2,0.01,1,0.01,0,0.00,0,0.00,9,0.05,0,0.00,0,0.00,10,0.06,0,0.00,0,0.00,1,0.01,3,0.02,0,0.00,0,0.00,1,0.01,0,0.00,2,0.01,34,0.20,2,0.01,0,0.00,32,0.19,6,11,0,15
32459,11457,10601,856,0.08,447,0.52,55,0.06,46,0.05,1,0.00,22,0.03,57,0.07,47,0.05,2,0.00,7,0.01,24,0.03,6,0.01,4,0.00,5,0.01,22,0.03,6,0.01,1,0.00,11,0.01,0,0.00,11,0.01,82,0.10,0,0.00,0,0.00,82,0.10,15,21,0,46
32460,5856,5572,284,0.05,84,0.30,36,0.13,50,0.18,2,0.01,0,0.00,9,0.03,3,0.01,3,0.01,0,0.00,8,0.03,0,0.00,0,0.00,0,0.00,3,0.01,1,0.00,0,0.00,7,0.02,0,0.00,1,0.00,77,0.27,0,0.00,0,0.00,77,0.27,0,0,0,77
32461,13,13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0
32462,3412,3324,88,0.03,39,0.44,11,0.13,15,0.17,2,0.02,1,0.01,2,0.02,8,0.09,3,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,0.07,0,0.00,0,0.00,6,0.07,1,0,0,5
32463,114,114,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0
32464,3994,3930,64,0.02,48,0.75,6,0.09,5,0.08,0,0.00,0,0.00,0,0.00,0,0.00,1,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.05,0,0.00,1,0.02,2,0.03,1,0,0,1
32465,9232,8706,526,0.06,183,0.35,123,0.23,84,0.16,13,0.02,1,0.00,12,0.02,7,0.01,3,0.01,2,0.00,4,0.01,1,0.00,0,0.00,1,0.00,4,0.01,1,0.00,0,0.00,0,0.00,1,0.00,2,0.00,84,0.16,0,0.00,0,0.00,84,0.16,5,8,0,71
32466,5641,5502,139,0.03,48,0.35,51,0.37,12,0.09,1,0.01,0,0.00,0,0.00,5,0.04,1,0.01,2,0.01,0,0.00,0,0.00,0,0.00,2,0.01,4,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,13,0.09,0,0.00,0,0.00,13,0.09,5,4,0,4
32501,11730,11095,635,0.05,123,0.19,242,0.38,107,0.17,12,0.02,0,0.00,7,0.01,5,0.01,2,0.00,3,0.00,0,0.00,18,0.03,3,0.00,2,0.00,27,0.04,2,0.00,0,0.00,2,0.00,0,0.00,3,0.00,77,0.12,0,0.00,1,0.00,76,0.12,31,16,0,29
32502,3298,3183,115,0.04,45,0.39,19,0.17,10,0.09,0,0.00,4,0.03,0,0.00,2,0.02,0,0.00,3,0.03,3,0.03,0,0.00,1,0.01,0,0.00,2,0.02,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,25,0.22,0,0.00,0,0.00,25,0.22,13,6,0,6
32503,32011,30925,1086,0.03,410,0.38,201,0.19,72,0.07,19,0.02,8,0.01,23,0.02,38,0.04,8,0.01,29,0.03,13,0.01,9,0.01,2,0.00,8,0.01,29,0.03,13,0.01,0,0.00,48,0.04,5,0.00,7,0.01,144,0.13,9,0.01,0,0.00,135,0.12,50,24,1,60
32504,21441,20481,960,0.05,317,0.33,221,0.23,91,0.09,19,0.02,8,0.01,5,0.01,30,0.03,20,0.02,18,0.02,24,0.03,8,0.01,1,0.00,9,0.01,29,0.03,5,0.01,1,0.00,30,0.03,2,0.00,7,0.01,115,0.12,0,0.00,0,0.00,115,0.12,50,23,0,42
32505,28213,27111,1102,0.04,446,0.40,234,0.21,59,0.05,8,0.01,4,0.00,28,0.03,71,0.06,16,0.01,16,0.01,9,0.01,3,0.00,8,0.01,0,0.00,14,0.01,9,0.01,0,0.00,5,0.00,1,0.00,3,0.00,168,0.15,1,0.00,6,0.01,161,0.15,45,17,1,98
32506,33846,31829,2017,0.06,893,0.44,402,0.20,109,0.05,32,0.02,18,0.01,41,0.02,72,0.04,10,0.01,44,0.02,27,0.01,7,0.00,15,0.01,3,0.00,49,0.02,19,0.01,3,0.00,31,0.02,1,0.00,8,0.00,233,0.12,0,0.00,3,0.00,230,0.11,81,47,3,99
32507,28996,27354,1642,0.06,679,0.41,333,0.20,96,0.06,35,0.02,7,0.00,13,0.01,64,0.04,11,0.01,28,0.02,25,0.02,0,0.00,6,0.00,4,0.00,25,0.02,10,0.01,3,0.00,18,0.01,1,0.00,5,0.00,279,0.17,1,0.00,2,0.00,276,0.17,90,45,0,141
32508,5852,4912,940,0.16,511,0.54,165,0.18,36,0.04,29,0.03,5,0.01,9,0.01,12,0.01,7,0.01,4,0.00,24,0.03,9,0.01,1,0.00,4,0.00,26,0.03,13,0.01,0,0.00,13,0.01,0,0.00,5,0.01,67,0.07,0,0.00,0,0.00,67,0.07,22,5,0,40
32509,660,488,172,0.26,21,0.12,79,0.46,35,0.20,10,0.06,0,0.00,1,0.01,0,0.00,0,0.00,2,0.01,0,0.00,1,0.01,0,0.00,0,0.00,14,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,0.05,0,0.00,0,0.00,9,0.05,4,0,0,5
32511,1145,1026,119,0.10,63,0.53,21,0.18,2,0.02,5,0.04,0,0.00,0,0.00,0,0.00,1,0.01,1,0.01,6,0.05,0,0.00,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,1,0.01,0,0.00,1,0.01,17,0.14,0,0.00,0,0.00,17,0.14,8,1,0,8
32514,37399,35303,2096,0.06,830,0.40,437,0.21,136,0.06,33,0.02,26,0.01,28,0.01,61,0.03,21,0.01,46,0.02,55,0.03,19,0.01,0,0.00,11,0.01,74,0.04,11,0.01,4,0.00,29,0.01,5,0.00,22,0.01,248,0.12,0,0.00,1,0.00,247,0.12,89,43,0,115
