ZIP,Population,NonHispanic,Hispanic,%Hispanic,Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%,OTHERS,%,Other Central American,%, Other South American,%,Other Hispanic,%,Spaniard,Spanish,Spanish American,All other Hispanic
32949,2248,2157,91,0.04,8,0.09,42,0.46,21,0.23,0,0.00,1,0.01,1,0.01,1,0.01,2,0.02,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,7,0.08,1,0.01,0,0.00,0,0.00,1,0.01,2,0.02,3,0.03,0,0.00,0,0.00,3,0.03,1,2,0,0
32950,3982,3813,169,0.04,27,0.16,44,0.26,36,0.21,2,0.01,2,0.01,0,0.00,6,0.04,0,0.00,1,0.01,0,0.00,0,0.00,1,0.01,3,0.02,14,0.08,4,0.02,0,0.00,4,0.02,0,0.00,6,0.04,19,0.11,2,0.01,0,0.00,17,0.10,7,2,0,8
32951,10673,10340,333,0.03,43,0.13,72,0.22,76,0.23,8,0.02,5,0.02,3,0.01,0,0.00,3,0.01,1,0.00,1,0.00,9,0.03,2,0.01,2,0.01,30,0.09,4,0.01,0,0.00,2,0.01,0,0.00,8,0.02,64,0.19,1,0.00,1,0.00,62,0.19,23,10,0,29
32952,19881,18789,1092,0.06,213,0.20,298,0.27,249,0.23,34,0.03,12,0.01,12,0.01,8,0.01,9,0.01,21,0.02,3,0.00,16,0.01,3,0.00,5,0.00,47,0.04,22,0.02,0,0.00,22,0.02,7,0.01,17,0.02,94,0.09,0,0.00,2,0.00,92,0.08,46,5,0,41
32953,22754,21287,1467,0.06,283,0.19,476,0.32,194,0.13,35,0.02,24,0.02,53,0.04,21,0.01,8,0.01,31,0.02,18,0.01,16,0.01,1,0.00,9,0.01,76,0.05,20,0.01,0,0.00,16,0.01,4,0.00,15,0.01,167,0.11,0,0.00,3,0.00,164,0.11,58,33,5,68
32955,36374,33784,2590,0.07,563,0.22,864,0.33,315,0.12,48,0.02,14,0.01,71,0.03,28,0.01,30,0.01,77,0.03,13,0.01,46,0.02,4,0.00,20,0.01,120,0.05,32,0.01,0,0.00,64,0.02,6,0.00,29,0.01,246,0.10,0,0.00,3,0.00,243,0.09,81,28,0,134
32958,25366,23713,1653,0.07,436,0.26,450,0.27,276,0.17,36,0.02,3,0.00,6,0.00,18,0.01,8,0.00,5,0.00,20,0.01,6,0.00,0,0.00,9,0.01,181,0.11,26,0.02,0,0.00,44,0.03,1,0.00,28,0.02,100,0.06,0,0.00,1,0.00,99,0.06,31,11,0,57
32960,20037,17457,2580,0.13,1225,0.47,341,0.13,191,0.07,30,0.01,12,0.00,42,0.02,81,0.03,17,0.01,9,0.00,54,0.02,10,0.00,4,0.00,26,0.01,209,0.08,13,0.01,1,0.00,51,0.02,1,0.00,33,0.01,230,0.09,1,0.00,0,0.00,229,0.09,21,34,3,171
32962,22716,20479,2237,0.10,846,0.38,391,0.17,289,0.13,37,0.02,7,0.00,25,0.01,66,0.03,31,0.01,13,0.01,40,0.02,16,0.01,2,0.00,17,0.01,162,0.07,46,0.02,3,0.00,71,0.03,4,0.00,32,0.01,139,0.06,0,0.00,0,0.00,139,0.06,31,19,0,89
32963,14911,14586,325,0.02,60,0.18,43,0.13,67,0.21,5,0.02,1,0.00,2,0.01,5,0.02,2,0.01,5,0.02,1,0.00,10,0.03,1,0.00,6,0.02,32,0.10,7,0.02,2,0.01,10,0.03,0,0.00,21,0.06,45,0.14,0,0.00,0,0.00,45,0.14,18,17,0,10
