Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%
Jimenez,0.008547,Perez,0.013699,Cruz,0.007874,Gomez,0.008,Perez,0.00943,Rodriguez,0.007407,Diaz,0.01,Diaz,0.00971,Diaz,0.00752,Reyes,0.00962,Ramirez,0.00418,Mendoza,0.00625,Hernandez,0.006329,Vargas,0.007042,Romero,0.004329,Rodriguez,0.008772,Ramirez,0.00671,Alvarez,0.00617284,Torres,0.006993
Torres,0.008264,Agosto,0.013514,Suarez,0.007813,Feliz,0.007937,Morales,0.00935,Choc,0.006849,Ramos,0.009804,Castillo,0.00917,Guerra,0.00741,Diaz,0.00935,Flores,0.00388,Sanchez,0.00588,Torres,0.006289,Ortiz,0.006944,Espinoza,0.004167,Ruiz,0.008696,Mendoza,0.00649,Suarez,0.006097561,Mendoza,0.006897
Diaz,0.007576,Carrasquillo,0.013514,Morales,0.007246,Guzman,0.007519,Campos,0.00935,Diaz,0.006452,Aguilar,0.009615,Gomez,0.00901,Miranda,0.00694,Ramos,0.00926,Benitez,0.00376,Martinez,0.00578,Espinoza,0.006173,Jimenez,0.006803,Gomez,0.004149,Nunez,0.008547,Chavez,0.00637,Ferreira,0.006024096,Medina,0.006667
Gutierrez,0.007353,Garcia,0.012821,Cabrera,0.006897,Mejia,0.007246,Quesada,0.00935,Reyes,0.006369,Ramirez,0.009524,Rivera,0.00855,Mendoza,0.00694,Gomez,0.00909,Acosta,0.0037,Chavez,0.00578,Flores,0.006173,Castro,0.006369,Salazar,0.004032,Ayala,0.008197,Espinoza,0.00588,Acosta,0.005555556,Moreno,0.006211
Ruiz,0.006494,Ortega,0.012821,Ramos,0.006849,Fernandez,0.007246,Gomez,0.00926,Castillo,0.005814,Alvarado,0.007692,Herrera,0.008,Gomez,0.00671,Portillo,0.00885,Medina,0.00364,Ramos,0.00578,Castillo,0.006098,Gutierrez,0.006369,Martinez,0.004016,Baez,0.008,Castillo,0.00543,Correa,0.004830918,Gutierrez,0.006098
Mendoza,0.006452,Torres,0.0125,Castillo,0.006329,Lopez,0.007143,Arias,0.00909,Cruz,0.005814,Castro,0.007463,Morales,0.00781,Herrera,0.00649,Escobar,0.00847,Herrera,0.0035,Apaza,0.00556,Valenzuela,0.006024,Alvarez,0.005714,Leon,0.003937,Cabrera,0.007576,Fernandez,0.00538,Machado,0.004484305,Jimenez,0.006061
Aguilar,0.006098,Canales,0.0125,Acosta,0.005917,Cruz,0.006849,Zuniga,0.0087,Mejia,0.005814,Velasquez,0.007407,Centeno,0.0073,Cedeno,0.00641,Orellana,0.00826,Suarez,0.00345,Huanca,0.00549,Ramirez,0.005917,Valencia,0.005714,Andrade,0.003861,Galeano,0.007576,Gutierrez,0.00513,Sanchez,0.004424779,Rivas,0.005848
Ortiz,0.005376,Vega,0.0125,Valdes,0.00565,de Los Santos,0.006623,Quiros,0.00862,Aguilar,0.005618,Romero,0.006849,Urbina,0.00725,Batista,0.0061,Aguilar,0.00775,Aguirre,0.00341,Vaca,0.00543,Reyes,0.005848,Ruiz,0.005618,Castillo,0.003745,Ferreira,0.007463,Vargas,0.0051,Castro,0.004405286,Alvarez,0.00565
Moreno,0.005263,Ayala,0.011628,Guerra,0.005464,Baez,0.006289,Fernandez,0.00855,Coc,0.005435,Castillo,0.006579,Jarquin,0.00714,Santos,0.0061,Romero,0.00763,Gimenez,0.00338,Torrez,0.0051,Gutierrez,0.005618,Suarez,0.005376,Ortiz,0.003731,Romero,0.007246,Cruz,0.00483,Mendez,0.004048583,Salazar,0.005618
Castillo,0.005236,Gonzalez,0.011364,Delgado,0.005376,Arias,0.006211,Salazar,0.00781,Juarez,0.005376,Orellana,0.006369,Castro,0.00709,Caballero,0.00606,Alvarado,0.0073,Gutierrez,0.00336,Guzman,0.005,Castro,0.005587,Herrera,0.005263,Loor,0.003731,Franco,0.007042,Ruiz,0.00481,Moreira,0.003984064,Marquez,0.005587
Romero,0.005128,Menendez,0.010638,Jimenez,0.005348,Abreu,0.005848,Villalobos,0.00781,Pop,0.005319,Mendoza,0.005814,Ramirez,0.00654,Vasquez,0.00599,Amaya,0.00667,Pereyra,0.00331,Suarez,0.00483,Vargas,0.005464,Romero,0.005236,Moreira,0.003731,Sosa,0.006993,de La Cruz,0.00417,Cardozo,0.003745318,Suarez,0.005348
Alvarez,0.005076,Martinez,0.01,Vazquez,0.005263,Nunez,0.005814,Brenes,0.00763,Marroquin,0.005155,Nu,0.00578,Chavarria,0.00629,Rivera,0.00585,Ayala,0.00645,Rojas,0.00328,Aguilar,0.00481,Alvarez,0.005405,Quintero,0.005181,Ramirez,0.003663,Torres,0.006944,Romero,0.00403,Rivero,0.003731343,Flores,0.005319
Mendez,0.004854,Lopez,0.009615,Pena,0.005102,Matos,0.005618,Gutierrez,0.00758,Alvarado,0.005128,Murillo,0.005747,Blandon,0.00617,Valdes,0.00568,Torres,0.00637,Molina,0.00319,Justiniano,0.00478,Vasquez,0.005263,Morales,0.005128,Alvarado,0.00365,Espinola,0.006944,Gomez,0.004,Nunez,0.003597122,Silva,0.005208
Chavez,0.004854,Hernandez,0.009615,Rivero,0.005102,Vasquez,0.005587,Garcia,0.00758,Barrios,0.005,Avila,0.005682,Rivas,0.00571,Vega,0.00562,Argueta,0.00637,Castro,0.00308,Romero,0.00459,Tapia,0.005102,Giraldo,0.004219,Bravo,0.003623,Cardozo,0.006897,Condori,0.00385,Morales,0.003584229,Pena,0.004926
Rivera,0.004854,Rosa,0.009615,Ruiz,0.005076,Mendez,0.005556,Alfaro,0.00725,Alvarez,0.004878,Gonzalez,0.00565,Davila,0.00552,de Leon,0.00549,Morales,0.00633,Ortiz,0.00292,Colque,0.00457,Fernandez,0.005025,Rivera,0.004184,Morales,0.003597,Britez,0.006897,Castro,0.00383,Pereyra,0.003533569,Contreras,0.004831
Juarez,0.004808,Merced,0.009524,Herrera,0.005,Medina,0.005525,Vega,0.00709,Escobar,0.004831,Zelaya,0.005587,Torrez,0.00549,Rios,0.00532,Guevara,0.00629,Silva,0.00287,Cuellar,0.00455,Sanchez,0.005,Arias,0.004132,Cevallos,0.003597,Caballero,0.006757,Silva,0.0038,Silvera,0.003378378,Morales,0.004566
Ramos,0.004717,Pagan,0.009434,Gutierrez,0.00495,Polanco,0.005525,Aguilar,0.00699,Herrera,0.004808,Padilla,0.005525,Mejia,0.00541,Nunez,0.0051,Campos,0.00621,Nunez,0.0028,Ramirez,0.00439,Cortes,0.00495,Florez,0.004115,Reyes,0.003546,Medina,0.006711,Cordova,0.00368,Silveira,0.003344482,Herrera,0.004566
Dominguez,0.004132,Valentin,0.009259,Leon,0.004926,Valdez,0.005495,Calderon,0.00699,Ortiz,0.004545,Santos,0.005525,Aguilar,0.00524,Flores,0.00508,Pineda,0.0061,Luna,0.00279,Vasquez,0.00437,Gomez,0.004831,Marin,0.004049,Ruiz,0.003521,Sanchez,0.006494,Martinez,0.00364,Viera,0.003322259,Vargas,0.004444
Herrera,0.004032,Delgado,0.009259,Dominguez,0.004717,Vargas,0.005495,Valverde,0.00694,Chavez,0.004484,Paz,0.005464,Mendez,0.00521,Ramos,0.00508,Castro,0.00606,Juarez,0.00273,Soliz,0.00424,Herrera,0.004831,Castillo,0.004016,Suarez,0.003436,Diaz,0.006211,Rivera,0.00356,de Los Santos,0.003246753,Mendez,0.00431
Medina,0.003968,Velez,0.009091,Alfonso,0.004367,Santos,0.005,Chavarria,0.00694,Sanchez,0.004464,Gonzales,0.005208,Romero,0.00515,Aguilar,0.00495,Mendoza,0.00602,Cabrera,0.00267,Miranda,0.0042,Carrasco,0.004762,Mejia,0.003953,Diaz,0.003413,Aquino,0.006173,Reyes,0.00351,de Leon,0.003194888,Parra,0.00431
Castro,0.003937,Quinones,0.008264,Rojas,0.004167,Mateo,0.004975,Alvarez,0.00667,Ordonez,0.004255,Gutierrez,0.005208,Obando,0.00498,Munoz,0.00485,Chavez,0.00599,Rios,0.00267,Villca,0.0041,Nunez,0.004673,Mosquera,0.003788,Alvarez,0.003413,Pereira,0.005952,Salazar,0.00351,Romero,0.00308642,Ruiz,0.004184
Vargas,0.003846,Malave,0.007752,Alonso,0.004132,Ortiz,0.004854,Castillo,0.00658,Chub,0.004237,Bonilla,0.005181,Calero,0.0049,Villarreal,0.00472,Molina,0.00599,Morales,0.0026,Morales,0.0041,Miranda,0.00463,Osorio,0.003759,Vargas,0.00339,Bogado,0.005814,Medina,0.00344,Gutierrez,0.003076923,Ramos,0.004184
Guzman,0.003831,Rosado,0.007463,Blanco,0.003984,de La Rosa,0.004854,Salas,0.00637,Estrada,0.004184,Herrera,0.005,Miranda,0.00461,Espinosa,0.00469,Mendez,0.00588,Godoy,0.00259,Alvarez,0.00405,Jara,0.004444,Cardenas,0.003731,Herrera,0.003333,Amarilla,0.005714,Aguilar,0.00337,Pintos,0.003012048,Blanco,0.004167
Velazquez,0.003802,Ogando,0.006944,Castro,0.003984,Almonte,0.004739,Espinoza,0.00637,Flores,0.003953,Medina,0.005,Orozco,0.00452,Dominguez,0.00467,Alfaro,0.00578,Moreno,0.00254,Ortiz,0.00398,Vergara,0.004348,Cardona,0.00369,Velez,0.003322,Jara,0.005525,Paredes,0.00333,Ramos,0.00297619,Rivero,0.003984
Munoz,0.003584,Pastrana,0.006757,Espinosa,0.003968,Cabrera,0.004695,Martinez,0.00629,Mendoza,0.003937,Torres,0.004975,Velasquez,0.00444,Pineda,0.00463,Castillo,0.00556,Ferreyra,0.00253,Espinoza,0.00389,Rivera,0.004184,Pena,0.003676,Guerrero,0.003165,Garcia,0.005319,Leon,0.00332,Torres,0.00280112,Quintero,0.003984
Rojas,0.003472,Sierra,0.006667,Leyva,0.003861,Alcantara,0.004695,Solis,0.00621,Gutierrez,0.003745,Maldonado,0.004975,Zamora,0.00437,Torres,0.00463,Guzman,0.00552,Dominguez,0.00253,Ticona,0.00376,Figueroa,0.004032,Zapata,0.003663,Guaman,0.003106,Escobar,0.005263,Morales,0.00331,Delgado,0.002747253,Briceno,0.003984
de La Cruz,0.003413,Acevedo,0.006579,Romero,0.003731,Marte,0.004673,Murillo,0.00621,Guzman,0.003745,Amaya,0.004785,Alvarez,0.00433,de Gracia,0.00448,Bonilla,0.00546,Carrizo,0.00244,Villarroel,0.00372,Garcia,0.004,Restrepo,0.00365,Chavez,0.003096,Vazquez,0.005128,Palomino,0.0033,Duarte,0.002570694,Reyes,0.003968
Contreras,0.003413,Sanabria,0.00641,Medina,0.003704,Montero,0.004608,Soto,0.0061,Jimenez,0.003731,Ortiz,0.004608,Vargas,0.00422,Ruiz,0.00446,Ortiz,0.00541,Peralta,0.00243,Chambi,0.00365,Bravo,0.003968,Guerrero,0.00365,Mora,0.00295,Paredes,0.005102,Huamani,0.00318,Ramirez,0.002493766,Zambrano,0.003937
Salazar,0.003367,Soler,0.005988,Moreno,0.003521,Batista,0.004566,Chacon,0.00606,Castro,0.003717,Ordo,0.004464,Sequeira,0.00418,Gutierrez,0.00431,Fuentes,0.00532,Castillo,0.00242,Castro,0.00362,Riquelme,0.003953,Parra,0.003623,Cabrera,0.00289,Sanabria,0.005051,Herrera,0.0031,Vazquez,0.002487562,Vasquez,0.003922
Luna,0.003279,Velazquez,0.005917,Nunez,0.003472,Guerrero,0.004525,Cordero,0.00602,Fuentes,0.003584,Mendez,0.004367,Moreno,0.00417,Palacio,0.00429,Henriquez,0.00518,Ledesma,0.00239,Calle,0.00355,Vera,0.003788,Mendoza,0.003571,Jaramillo,0.002825,Velazquez,0.004878,Campos,0.00309,Medina,0.002427184,Leon,0.003846
Ortega,0.003195,Caballero,0.005747,Santana,0.003425,Soto,0.004425,Mendez,0.00599,Rivas,0.003472,Portillo,0.004367,Arauz,0.00415,Vargas,0.00415,Cortez,0.00518,Quiroga,0.00238,Duran,0.0035,Vega,0.003676,Medina,0.003425,Paredes,0.002825,Mendoza,0.004739,Rios,0.00296,Alvez,0.002386635,Delgado,0.003846
Santiago,0.003185,Panet,0.005714,Vega,0.003401,Tejeda,0.004184,Herrera,0.00592,Cardona,0.00346,Banegas,0.00431,Ortiz,0.0041,Vergara,0.004,Menjivar,0.00493,Vega,0.00231,Mendez,0.00348,Molina,0.003623,Ramos,0.003401,Molina,0.002817,Barrios,0.004651,Pena,0.00295,da Silva,0.002358491,Velasquez,0.003636
Guerrero,0.003067,Ruiz,0.005495,Batista,0.003344,Acosta,0.004132,Monge,0.00592,Xol,0.003378,Amador,0.004292,Zeledon,0.00407,Reyes,0.00397,Quintanilla,0.00457,Vera,0.00224,Jimenez,0.00347,Campos,0.003497,Salazar,0.003378,Rivera,0.002755,Coronel,0.004566,Vega,0.00281,Techera,0.002277904,Rondon,0.003636
Estrada,0.002959,Marrero,0.005405,Tamayo,0.003322,Peralta,0.004115,Montero,0.00568,Tiul,0.003322,Alvarez,0.004255,Amador,0.00392,Montenegro,0.00385,Santos,0.00441,Munoz,0.00218,Nina,0.00342,Sandoval,0.003497,Correa,0.0033,Moran,0.002639,Ojeda,0.004405,Cardenas,0.00279,Benitez,0.00212766,Marcano,0.003472
Bautista,0.00295,Bordelies,0.005376,Martin,0.0033,de Leon,0.004098,Barrantes,0.00565,Ruiz,0.003268,Maradiaga,0.004237,Duarte,0.00386,Delgado,0.00366,Arevalo,0.00437,Ojeda,0.00218,Gomez,0.00336,Olivares,0.003497,Ortega,0.003165,Cruz,0.002571,Portillo,0.004367,Delgado,0.00275,Perdomo,0.00209205,Castro,0.003344
Cortes,0.002833,Potter,0.005376,Marrero,0.003145,Pimentel,0.003968,Segura,0.00556,Pineda,0.003257,Zuniga,0.004202,Munoz,0.00368,Barria,0.00366,Velasquez,0.00417,Ponce,0.00215,Rocha,0.00332,Orellana,0.003472,Vasquez,0.003155,Moreno,0.002545,Colman,0.004329,Alvarez,0.00273,Larrosa,0.00203252,Molina,0.0033
Soto,0.002786,Nieves,0.005291,Molina,0.003135,Taveras,0.003831,Madrigal,0.00556,Rivera,0.003247,Barahona,0.004184,Jimenez,0.00365,Montezuma,0.00362,Alvarez,0.00415,Villalba,0.00209,Salazar,0.00332,Zuniga,0.00339,Montoya,0.003155,Ortega,0.002463,Rolon,0.004255,Soto,0.00263,Costa,0.002028398,Acosta,0.003279
Alvarado,0.002786,Soto,0.005076,Fuentes,0.003115,Cuevas,0.003745,Diaz,0.00552,Mazariegos,0.003226,Molina,0.003968,Rios,0.00358,Navarro,0.00355,Herrera,0.00412,Cardozo,0.00207,Cespedes,0.00328,Ortiz,0.003268,Cortes,0.003145,Vasquez,0.002451,Dominguez,0.004149,Calderon,0.00258,Marquez,0.002012072,Tovar,0.003236
Espinoza,0.002688,Miranda,0.004566,Machado,0.002833,Herrera,0.003597,Marin,0.00552,Santos,0.003135,Dominguez,0.003774,Silva,0.00357,Moran,0.00351,Ventura,0.00408,Navarro,0.00199,Hurtado,0.00323,Gallardo,0.003257,Acosta,0.003145,Alcivar,0.002421,Riveros,0.004132,Velasquez,0.00255,Piriz,0.002,Barrios,0.003226
Lara,0.002584,Arroyo,0.004329,Matos,0.002793,Brito,0.003559,Porras,0.00541,Villatoro,0.003086,Perdomo,0.003745,Rojas,0.00356,Ortiz,0.00351,Gutierrez,0.00395,Coronel,0.00198,Torrico,0.00321,Alarcon,0.003236,Guzman,0.003125,Medina,0.002415,Centurion,0.004049,Guevara,0.00255,Curbelo,0.001988072,Alvarado,0.003205
Avila,0.002513,Roman,0.004082,Mendez,0.00277,Torres,0.003534,Fallas,0.00526,Rodas,0.003021,Castellanos,0.003731,Sevilla,0.00355,Arauz,0.0035,Rosales,0.00389,Vazquez,0.00198,Herrera,0.00319,Garrido,0.003185,Londono,0.003058,Fernandez,0.00237,Aguero,0.003922,Jimenez,0.00252,Barboza,0.001945525,Gil,0.003155
Rios,0.002457,Ramirez,0.004065,Ptrez,0.00274,Alvarez,0.003521,Navarro,0.00513,Calel,0.003003,Figueroa,0.003717,Alvarado,0.00353,Serrano,0.00347,Melendez,0.00362,Ramos,0.00197,Camacho,0.00317,Salazar,0.003175,Molina,0.00303,Arias,0.00232,Silva,0.003906,Munoz,0.00252,Varela,0.001919386,Marin,0.00303
Cervantes,0.002451,Melendez,0.003968,Mendoza,0.002667,Espinal,0.003521,Rivera,0.00485,Orozco,0.002967,Escobar,0.003704,Medina,0.00353,Bonilla,0.00342,Marroquin,0.00356,Vargas,0.00196,Rios,0.00303,Pizarro,0.003067,Velasquez,0.00303,Vega,0.002203,Perez,0.003788,Villanueva,0.00246,Nunez,0.001912046,Mora,0.002793
Silva,0.002398,Cintron,0.003906,Fonseca,0.00266,Bautista,0.003401,Torres,0.00476,Carrillo,0.002849,Matute,0.00365,Rocha,0.00352,Atencio,0.00339,Jimenez,0.00352,Caceres,0.00193,Velasquez,0.00298,Aguilera,0.003058,Rincon,0.003012,Valencia,0.002151,Peralta,0.003788,Nunez,0.0024,Santos,0.001908397,Colmenares,0.002762
Delgado,0.002387,Lugo,0.003876,Mesa,0.002639,Castro,0.003367,Fonseca,0.00459,Cucul,0.002841,Ponce,0.003534,Palacios,0.00347,Acosta,0.00325,Lemus,0.00342,Arias,0.00192,Rivero,0.00293,Saavedra,0.00304,Rios,0.002967,Silva,0.002141,Rios,0.003717,Alvarado,0.00238,Reyes,0.001890359,Escalona,0.00274
