Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%
Quiroz,0.000942,Chinea,0.000722,Bermudez,0.001019,Berroa,0.001018,Robles,0.00125,Quej,0.000995,Sorto,0.001374,Vallecillo,0.00123,Mendieta,0.00109,Pacheco,0.00118,Frias,0.00081,Ledezma,0.0012,Araneda,0.001311,Estrada,0.001252,Contreras,0.000968,Enciso,0.001466,Zavaleta,0.00086,Abreu,0.000693481,Oropeza,0.00113
Salgado,0.000941,Caraballo,0.000706,Jorge,0.001015,Sierra,0.00101,Mejias,0.00125,Valenzuela,0.000994,Escoto,0.001357,Granados,0.00123,Galvez,0.00109,Ochoa,0.00116,Videla,0.00081,Mollo,0.0012,Guajardo,0.001309,Nunez,0.00125,Aviles,0.000967,Zarza,0.001462,Loayza,0.00086,Figueredo,0.000693001,Angulo,0.001112
Becerra,0.000936,Franco,0.000705,Figueroa,0.000997,Vizcaino,0.001008,Contreras,0.00125,Sagastume,0.000991,Bueso,0.001344,Cardenas,0.00122,Espinoza,0.00109,Navarrete,0.00116,Mino,0.00081,Alvarado,0.00119,Carcamo,0.001304,Aguilar,0.001247,Borja,0.000966,Esquivel,0.001458,Arroyo,0.00086,Valdez,0.000685871,Yepez,0.00111
Arroyo,0.000931,Romero,0.000702,Parra,0.000992,Bueno,0.001006,Amador,0.00125,Escalante,0.000969,Sandoval,0.00133,Siles,0.00121,Toribio,0.00108,Maldonado,0.00115,Jara,0.00081,Paniagua,0.00118,Canales,0.001302,Ayala,0.001241,Guerra,0.000963,Moreno,0.001453,Aliaga,0.00085,Ojeda,0.000685401,Dominguez,0.001106
Peralta,0.000931,Nunez,0.000696,Vera,0.000984,Bonilla,0.001003,Pereira,0.00124,Batz,0.000966,Ventura,0.001316,Rostran,0.00121,Frias,0.00108,Solis,0.00115,Garay,0.00081,Delgadillo,0.00118,Barrientos,0.00129,Solano,0.001217,Quiroz,0.000963,Bordon,0.001451,Montes,0.00085,Cabral,0.000684932,Castellanos,0.001106
Esparza,0.000909,Casanova,0.000692,Falcon,0.000982,Vidal,0.000989,Bustos,0.00124,Xiloj,0.000965,Bardales,0.001297,Vallejos,0.0012,Zambrano,0.00106,Vega,0.00114,Rossi,0.00081,Bejarano,0.00117,Villegas,0.001289,Monsalve,0.001209,Villavicencio,0.000962,Marin,0.001433,Mendez,0.00085,Ayala,0.00067659,Nieves,0.001104
Avalos,0.000903,Sanchez,0.000689,Tellez,0.00098,Cespedes,0.000986,Madriz,0.00123,Davila,0.000964,Chirinos,0.001289,Matamoros,0.0012,Espino,0.00106,Santamaria,0.00114,Lezcano,0.00081,Loza,0.00116,Urrutia,0.001287,Bolanos,0.001202,Luna,0.000951,Morales,0.001418,Salcedo,0.00084,Denis,0.00067659,Toro,0.001095
Roman,0.000898,Silva,0.000682,Echevarria,0.000971,Roman,0.000975,Ramos,0.00122,Galindo,0.000964,Raudales,0.001277,Fuentes,0.00119,Prado,0.00105,Montoya,0.00114,Valenzuela,0.0008,Herbas,0.00116,Cruz,0.001256,Arenas,0.001198,Teran,0.000948,Penayo,0.001418,Cortez,0.00084,Ribeiro,0.000676133,Aguilera,0.001083
Barajas,0.000894,Galarza,0.000659,Campos,0.000951,de Jesus,0.000964,Sancho,0.00121,Santiago,0.000964,Galeas,0.001276,Vivas,0.00117,Tenorio,0.00105,Aviles,0.00114,Oliva,0.00079,Barrios,0.00116,Gatica,0.001253,Cabrera,0.001198,Cadena,0.000948,Mora,0.001414,Yupanqui,0.00084,Melo,0.000674764,Prieto,0.00107
Felix,0.000882,San Miguel,0.000651,Armas,0.000949,Brea,0.000962,Valerio,0.0012,Tol,0.000954,Juarez,0.001263,Huete,0.00116,Benitez,0.00104,Leon,0.00114,Fuentes,0.00079,Munoz,0.00114,Riveros,0.001252,Galindo,0.001189,Camacho,0.000941,Guerrero,0.001403,Linares,0.00084,Mello,0.000671592,Calderon,0.001065
Guevara,0.00087,Rolon,0.000649,Correa,0.000935,de Oleo,0.00096,Suarez,0.0012,Castaneda,0.000953,Chacon,0.001259,Quiroz,0.00116,Salinas,0.00104,Villalobos,0.00113,Robledo,0.00079,Guarachi,0.00114,Ibarra,0.001245,Becerra,0.001179,Hurtado,0.000936,Arrua,0.001397,Guillen,0.00084,Guerrero,0.000664011,Azuaje,0.001027
Murillo,0.00087,Vazquez,0.000635,Noa,0.000929,Payano,0.000953,Leiton,0.00118,Baquiax,0.000935,Irias,0.001232,Moran,0.00116,Trejos,0.00103,Aparicio,0.00113,Espindola,0.00078,Marquez,0.00113,Quiroz,0.001241,Fonseca,0.001178,Rivadeneira,0.000934,Zaracho,0.001393,Cotrina,0.00083,Collazo,0.00066313,Gimenez,0.001024
Olivares,0.000863,Rosario,0.000634,Cedeno,0.000918,Leon,0.000942,Acosta,0.00117,Guox,0.000935,Lanza,0.001232,Cuadra,0.00115,Contreras,0.00102,Renderos,0.00112,Nieto,0.00078,Eguez,0.00112,Mella,0.001238,Perdomo,0.001174,Enriquez,0.000931,Dure,0.001391,Carrillo,0.00083,Mederos,0.000661813,Pirela,0.001022
de Leon,0.000847,Bonilla,0.000632,Concepcion,0.000914,Montas,0.000923,Lara,0.00117,Cu,0.000933,Corrales,0.001224,Navarro,0.00114,Quiel,0.00101,Ortega,0.00111,Pereira,0.00078,Tarqui,0.00111,Cisternas,0.001232,Castellanos,0.001161,Fajardo,0.000922,Bobadilla,0.001366,Chipana,0.00082,Otero,0.000659631,Caraballo,0.001019
Castellanos,0.00084,Pizarro,0.00063,Almaguer,0.000905,Urena,0.000903,Saborio,0.00116,Tut,0.000932,Licona,0.001209,Moncada,0.00113,Henriquez,0.00101,Avelar,0.0011,Brizuela,0.00078,Carrasco,0.00111,Cid,0.00123,Betancur,0.001157,Sarmiento,0.000914,Alonso,0.001359,Manrique,0.00081,Dutra,0.000657462,Meza,0.001018
Villarreal,0.000838,Carrion,0.000624,Otero,0.000901,Guillen,0.000898,Aguirre,0.00116,Quino,0.000932,Alfaro,0.001208,Guillen,0.00113,Rangel,0.001,Jovel,0.00109,Andrada,0.00077,Alanoca,0.00111,Mancilla,0.001222,Bohorquez,0.001148,Carvajal,0.000911,Reyes,0.00134,Molina,0.00081,Ledesma,0.000651466,Noguera,0.001014
Lugo,0.000826,Amill,0.000621,Salazar,0.000895,Puello,0.000888,Saenz,0.00116,Cacao,0.000927,Tabora,0.001203,Vilchez,0.00112,Salina,0.00099,Bolanos,0.00106,Maciel,0.00077,Barrientos,0.00111,Baeza,0.00122,Campo,0.001142,Angulo,0.000909,Balbuena,0.00134,Osorio,0.00081,Nieves,0.000650618,Correa,0.001012
Montiel,0.000825,Munoz,0.000618,Chacon,0.000894,Araujo,0.000887,Rios,0.00116,Lem,0.000918,Fajardo,0.001183,Polanco,0.00112,Cabrera,0.00099,Zavala,0.00106,Funes,0.00077,Carvajal,0.0011,Gaete,0.001215,Salcedo,0.001139,Criollo,0.000905,Cubilla,0.001335,Pariona,0.00081,Sellanes,0.000648088,Osorio,0.00101
Angeles,0.00082,Andujar,0.000613,Soler,0.000891,Rosado,0.000864,Briceno,0.00115,Fajardo,0.000911,Montes,0.001174,Arguello,0.00111,Acevedo,0.00094,Solorzano,0.00105,Robles,0.00077,Serrano,0.0011,Mardones,0.001211,Zuniga,0.001138,Davila,0.000898,Valenzuela,0.0013,Padilla,0.0008,Prieto,0.000645161,Carmona,0.000999
Villalobos,0.000819,Molina,0.000601,Frometa,0.000876,Pina,0.00085,Marchena,0.00114,Xo,0.000908,Nolasco,0.001166,Loaisiga,0.0011,Mora,0.00094,Vargas,0.00105,Sotelo,0.00076,Conde,0.00109,Mansilla,0.001208,Luna,0.001136,Serrano,0.000895,Orue,0.001299,Altamirano,0.0008,Sierra,0.000643501,Solorzano,0.000999
Segura,0.000812,Sola,0.000596,Socarras,0.000866,Pinales,0.000845,Villarreal,0.00113,Ortega,0.000907,Guardado,0.001156,Robleto,0.00109,Duarte,0.00093,Villanueva,0.00105,Cortez,0.00076,Pedraza,0.00108,Albornoz,0.00119,Galeano,0.001129,Cabezas,0.000887,Arias,0.00128,Solano,0.0008,Maldonado,0.000637349,Benitez,0.000991
Saucedo,0.000809,Mendoza,0.000595,Amador,0.000863,Mercado,0.000844,Medina,0.00113,Coronado,0.000903,Navarro,0.001156,Lumbi,0.00109,Williams,0.00092,Lainez,0.00104,Almiron,0.00076,Vidal,0.00108,Manriquez,0.001188,Carmona,0.001121,Ibarra,0.000876,Villamayor,0.00128,Ore,0.0008,Villar,0.000637349,Yanez,0.000983
Gallardo,0.000795,Anca,0.000583,Valle,0.000859,Urbaez,0.000839,Lizano,0.00111,Tubac,0.0009,Arias,0.001152,Benavidez,0.00108,Saenz,0.00092,Rosa,0.00104,Rivas,0.00075,Caballero,0.00107,Andrade,0.001179,Pulido,0.00112,Viteri,0.000875,Areco,0.00128,Caballero,0.0008,Rosano,0.000635728,Palmar,0.000981
Chan,0.000784,Mangual,0.000581,Zaldivar,0.000855,Alcantara,0.000835,Meza,0.0011,Gramajo,0.000896,Cortes,0.001147,Alfaro,0.00107,Adames,0.00091,Batres,0.00103,Gil,0.00074,Montano,0.00107,Vallejos,0.001176,Caro,0.001119,Yagual,0.000874,Almiron,0.001248,Prado,0.0008,Burgos,0.000631712,Infante,0.000981
Reyna,0.000779,Montalvo,0.00057,Quinones,0.000854,Mesa,0.000831,Pena,0.0011,Yoc,0.000896,Soriano,0.001145,Caceres,0.00106,Cano,0.00091,Rojas,0.00101,Villegas,0.00074,Antelo,0.00107,Leal,0.001171,Melo,0.001117,Meza,0.00087,Ozuna,0.001233,Chambi,0.00079,Sequeira,0.000629327,Jaimes,0.000978
Mercado,0.000779,Cotto,0.000566,Rivas,0.000849,Amador,0.000831,Godinez,0.00106,Tec,0.000894,Carias,0.001142,Toruno,0.00106,Garrido,0.0009,Gamez,0.00101,Calderon,0.00072,Escalante,0.00106,Caro,0.00117,Gonzales,0.001116,Astudillo,0.00087,Saucedo,0.001212,Camacho,0.00078,Amaro,0.000626959,Henriquez,0.000977
Magana,0.000776,Rosas,0.000562,Sotolongo,0.000847,Veloz,0.00083,Moreno,0.00106,Ba,0.000892,Oseguera,0.001129,Guadamuz,0.00105,Valderrama,0.0009,Garay,0.00101,Vergara,0.00072,Torres,0.00106,Valencia,0.001152,Bravo,0.00111,Vergara,0.000862,Ortigoza,0.001211,Panduro,0.00078,Mora,0.000626174,Guedez,0.000976
Davila,0.000775,Marquez,0.000556,Basulto,0.000835,Suriel,0.000824,Cedeno,0.00105,Yaxcal,0.000891,Borjas,0.001119,Sobalvarro,0.00105,Rosales,0.0009,Vanegas,0.00101,Carabajal,0.00071,Beltran,0.00106,Carreno,0.001151,Jaimes,0.001095,Choez,0.000858,Ortellado,0.001205,Montoya,0.00078,Amaral,0.000625,Malave,0.000963
Navarrete,0.000772,Lopez,0.000546,Camacho,0.000824,Blanco,0.000808,Roman,0.00103,Camey,0.000883,Duron,0.001109,Mendieta,0.00104,Jordan,0.00089,Carcamo,0.001,Ceballos,0.0007,Estrada,0.00105,Rebolledo,0.001147,Rosero,0.001082,Baque,0.000855,Villar,0.001172,Valdez,0.00077,da Costa,0.000623441,Millan,0.000962
Paredes,0.000769,Orozco,0.000543,Llanes,0.00082,Maldonado,0.000806,Jara,0.00103,Macz,0.00087,Galo,0.001105,Benavides,0.00104,Meneses,0.00088,Galvez,0.00099,Gallo,0.00069,Loayza,0.00105,Fuentealba,0.00114,Prieto,0.001066,Robles,0.000855,Marecos,0.00117,Araujo,0.00077,Deleon,0.000620347,Farias,0.000961
Guerra,0.000762,Falcon,0.000532,Escobar,0.00082,Minaya,0.000805,Melendez,0.00103,Morataya,0.00087,Menjivar,0.0011,Saenz,0.00104,Alonso,0.00088,Membreo,0.00099,Palavecino,0.00069,Chuquimia,0.00105,Solis,0.001134,Figueroa,0.001062,Moncayo,0.00085,Trinidad,0.001145,Lazo,0.00077,Alfonso,0.000616523,Acevedo,0.000961
Guillen,0.000762,Prado,0.000517,Cuellar,0.000817,Agramonte,0.000803,Mejia,0.00102,Axpuac,0.00087,Ardon,0.0011,Osorio,0.00104,Ayala,0.00088,Sibrian,0.00099,Barreto,0.00069,Andrade,0.00104,Varas,0.00113,Quinones,0.001058,Villegas,0.000846,Alarcon,0.001143,Lazaro,0.00077,Parodi,0.000615385,Godoy,0.000958
Leal,0.00076,Tirado,0.000508,Macias,0.000814,Robles,0.000792,Ledezma,0.00101,Sales,0.000865,Almendares,0.001094,Lanzas,0.00104,Gonzalez,0.00087,Penate,0.00098,Alderete,0.00068,Encinas,0.00104,Oyarzun,0.001124,Sanabria,0.001052,Cando,0.000845,Saldivar,0.00114,Angulo,0.00077,Mendoza,0.000611995,Padron,0.000954
Monroy,0.000736,Marcano,0.000503,Monteagudo,0.00081,Pereyra,0.000786,Zumbado,0.00101,Cho,0.000861,Ferrera,0.001092,Parrales,0.00104,Morris,0.00087,Palma,0.00097,Escudero,0.00068,Teran,0.00104,Santibanez,0.001122,Nieto,0.001052,Carpio,0.000845,Palacios,0.001136,Fuentes,0.00077,Barreiro,0.000606061,Lozada,0.000953
del Angel,0.000736,Caban,0.000501,Camejo,0.000809,Casado,0.000784,Loaiza,0.00099,Raymundo,0.000861,Galindo,0.001082,Borge,0.00103,Juarez,0.00086,Bermudez,0.00097,Saavedra,0.00068,Vela,0.00104,Cordova,0.001115,Murcia,0.00105,Zurita,0.000841,Veron,0.00112,del Aguila,0.00076,Carrasco,0.000606061,Carreno,0.000928
Saldana,0.000736,Puig,0.000501,Roman,0.000808,Padilla,0.000784,Barahona,0.00099,Itzep,0.000854,Aguirre,0.001076,Cordoba,0.00102,Barrera,0.00085,Abarca,0.00097,Serrano,0.00068,Antezana,0.00103,Cofre,0.001104,Bautista,0.001049,Zapata,0.00084,Talavera,0.001115,Coronado,0.00076,Camargo,0.000603865,Roa,0.000922
Zapata,0.000733,Gonzalez,0.000492,Corrales,0.000806,Santo,0.00078,Prado,0.00097,Bol,0.000853,Sauceda,0.001055,Montiel,0.00101,Ceballos,0.00084,Salmeron,0.00096,Almada,0.00067,Avila,0.00103,Mendoza,0.001103,Salas,0.001047,Pinargote,0.00084,Vallejos,0.001112,Mori,0.00076,Gil,0.000603865,Palma,0.000914
Santana,0.000733,Velazquez,0.000489,Pedroso,0.000805,Troncoso,0.000776,Mayorga,0.00095,Duarte,0.000851,Cantarero,0.001049,Casco,0.001,Castrellon,0.00083,Vides,0.00095,Galeano,0.00067,Aliaga,0.00103,Fuenzalida,0.001086,Cantillo,0.001037,Sandoval,0.000835,Alfonzo,0.001111,Hinostroza,0.00076,Almada,0.00059988,Pernia,0.000912
Nieto,0.000731,Guevara,0.000481,Milanes,0.000802,Carmona,0.000773,Arguello,0.00094,Pascual,0.000851,Almendarez,0.001035,Sandino,0.001,Otero,0.00083,del Cid,0.00095,Espinosa,0.00066,Carrillo,0.00102,Barra,0.001076,Pinto,0.001033,Montenegro,0.000833,Monges,0.001103,Chacon,0.00076,Gadea,0.00059988,Cortez,0.000912
Islas,0.000729,Rogiers,0.00047,Aguero,0.000794,Pascual,0.000762,Rivas,0.00092,Panjoj,0.000848,Rapalo,0.00103,Paz,0.00099,Guillen,0.00082,Rubio,0.00094,Villagra,0.00066,Cardenas,0.00102,Berrios,0.001067,Vera,0.001017,Sarango,0.000829,Ledesma,0.001103,Neyra,0.00076,Moraes,0.000591366,Araque,0.000909
Uribe,0.000728,Matias,0.000469,Viera,0.000782,Nolasco,0.000759,Bejarano,0.0009,Rios,0.00084,Escalante,0.001026,Gamez,0.00099,Mitre,0.00081,Montano,0.00094,Gerez,0.00065,Chipana,0.00101,Opazo,0.00105,Espitia,0.001012,Garces,0.000829,Rivarola,0.001098,Avalos,0.00075,Garrido,0.000589275,Padilla,0.000907
Escobedo,0.000726,Suarez,0.000452,de La Torre,0.000778,Ozuna,0.000751,Centeno,0.00088,Reynoso,0.000835,Coello,0.001005,Arroliga,0.00098,Pitty,0.00081,Angel,0.00093,Solis,0.00065,Trujillo,0.00101,Veliz,0.001043,Montano,0.001008,Quijije,0.000825,Paiva,0.001095,Blas,0.00075,Soto,0.000586166,Peraza,0.000873
Pina,0.000724,Pagan,0.000451,Alarcon,0.000778,Salcedo,0.000751,Berrocal,0.00087,Mo,0.000834,Lobo,0.001005,Lara,0.00098,Marquez,0.00081,de Paz,0.00093,Ochoa,0.00065,Robles,0.00101,Arenas,0.001033,Zuluaga,0.001002,Bastidas,0.000824,Villagra,0.001092,Salvador,0.00075,Maidana,0.000583771,Riera,0.000861
Granados,0.000714,Brocco,0.000447,Aleman,0.000751,Ferreira,0.000749,Tenorio,0.00086,Guarchaj,0.000833,Silva,0.001003,Aviles,0.00098,Andrade,0.0008,Montes,0.00092,Escalante,0.00065,Pardo,0.00101,Vilches,0.001033,Ceballos,0.000998,Garzon,0.000822,Burgos,0.001068,Zarate,0.00075,Trinidad,0.00058072,Chacin,0.000859
Solano,0.000712,Muniz,0.00044,Calderon,0.000742,Suazo,0.000746,Zeledon,0.00086,Montenegro,0.000824,Vega,0.001,Betanco,0.00098,Pinilla,0.0008,Castellanos,0.00092,Luque,0.00064,Cordova,0.001,Zamora,0.001029,Alvarado,0.000996,Rosado,0.00081,Troche,0.001048,Gamboa,0.00074,de Armas,0.000580046,Villamizar,0.000857
Caballero,0.00071,Rovira,0.000431,Carrazana,0.000741,Sepulveda,0.000745,Conejo,0.00085,Cuyuch,0.000817,Trejo,0.000992,Ubeda,0.00096,Guardia,0.00079,Perdomo,0.00092,Amaya,0.00063,Villanueva,0.00099,Carrillo,0.001022,Alarcon,0.000995,Mena,0.00081,Valiente,0.001046,Marquez,0.00074,Campos,0.000579039,Gallardo,0.00085
Yanez,0.000702,Santos,0.000427,Pereira,0.000736,Abad,0.000743,Pacheco,0.00084,Arevalo,0.000811,Carrasco,0.000989,Salmeron,0.00094,Robinson,0.00078,Peraza,0.00092,Arguello,0.00063,Roman,0.00099,Cabezas,0.001017,Riascos,0.000995,Lozano,0.00081,Mendieta,0.001035,Alcantara,0.00074,Quiroga,0.000577034,Becerra,0.000846
Zepeda,0.000701,Orengo,0.000422,Beltran,0.000735,Zabala,0.000742,Moraga,0.00083,Ambrocio,0.000806,Guerrero,0.000989,Alaniz,0.00093,Sandoval,0.00078,Bautista,0.00091,Salazar,0.00061,Nogales,0.00098,Santander,0.001015,Chavez,0.000989,Alban,0.000808,Encina,0.001032,Garay,0.00074,Cardoso,0.000576369,Carrero,0.000842
Arriaga,0.000694,Knight,0.000421,Carmona,0.000734,Caceres,0.00074,Pizarro,0.00082,Tambriz,0.000806,Deras,0.000983,Cabrera,0.00091,Guzman,0.00077,Salguero,0.00091,Lazarte,0.00061,Murillo,0.00097,Pardo,0.000996,Roa,0.000989,Fuentes,0.000806,Escurra,0.001027,Mayta,0.00073,Baez,0.000571102,Crespo,0.000839
Barron,0.00069,Oliveras,0.00042,Ojeda,0.000726,Campusano,0.000733,Montenegro,0.00082,Guarcas,0.000805,Chinchilla,0.000978,Lagos,0.00091,Canto,0.00077,Ardon,0.0009,Barrientos,0.00061,Mancilla,0.00095,Zamorano,0.000963,Castrillon,0.000985,Vinueza,0.000797,Adorno,0.001024,Huillca,0.00073,Ocampo,0.000569476,Duque,0.000835
Barrios,0.000685,Herrera,0.000417,Infante,0.000726,Carvajal,0.00072,Villalta,0.00081,Dominguez,0.000805,Lazo,0.000977,Manzanares,0.0009,Garay,0.00077,Murcia,0.0009,Vidal,0.0006,Arauz,0.00094,Plaza,0.000955,Serrano,0.000981,Grefa,0.000796,Mercado,0.001012,Abanto,0.00073,Brun,0.000560538,Mota,0.000835
Galicia,0.000684,Nazario,0.000417,Gongora,0.000726,Betances,0.000711,Bogantes,0.00081,Toj,0.000804,Machado,0.000975,Brenes,0.0009,Mejia,0.00076,Mata,0.0009,Machado,0.0006,Bravo,0.00094,Rubio,0.000951,Triana,0.000979,Samaniego,0.000796,Patino,0.00099,Segura,0.00073,Vila,0.000560224,Lucena,0.000822
Ojeda,0.000684,Brens,0.000412,Lazo,0.00072,Rijo,0.00071,Fajardo,0.0008,Alfaro,0.000796,Solorzano,0.000973,Trujillo,0.00089,Jurado,0.00076,Lima,0.00089,Ferreira,0.0006,Velarde,0.00094,Ibanez,0.000946,Lara,0.000978,de La Cruz,0.000794,Correa,0.000987,Coronel,0.00073,Aquino,0.000558971,Viloria,0.00082
Gil,0.000684,Quinonez,0.000412,Ochoa,0.000719,Navarro,0.000699,Guido,0.0008,Chilel,0.000793,Fonseca,0.000958,Moraga,0.00088,Zapata,0.00075,Maravilla,0.00089,Arganaraz,0.0006,Tito,0.00092,Montecinos,0.000946,Berrio,0.000974,Roman,0.000792,Cuenca,0.000975,Condor,0.00072,Nunez,0.000555864,Polanco,0.00082
Acevedo,0.00068,Pinela,0.000409,Osorio,0.000719,Marmolejos,0.000695,Aleman,0.0008,Muralles,0.000791,Palacios,0.000956,Larios,0.00088,Correa,0.00075,Benavides,0.00089,Iglesias,0.00059,Burgos,0.00092,Meneses,0.000938,Pardo,0.000973,Valverde,0.000791,Guillen,0.000974,Arce,0.00072,Menendez,0.000552486,Luna,0.000816
Alfaro,0.000673,Estrella,0.000407,Mejias,0.000713,Rincon,0.000695,Guadamuz,0.00079,Arias,0.00079,Manueles,0.000947,Poveda,0.00088,Bustamante,0.00074,Quijada,0.00089,Guevara,0.00059,Rosales,0.00091,Robles,0.000936,Rendon,0.000969,Gavilanes,0.000789,Frutos,0.000974,Durand,0.00071,Escobar,0.000549753,Bastardo,0.000805
Godinez,0.000665,Galan,0.000404,Yero,0.000712,Ovalles,0.000684,Portuguez,0.00078,Espinoza,0.000789,Baquedano,0.000939,Melendez,0.00087,Rosas,0.00074,Echeverria,0.00088,Centurion,0.00059,Terceros,0.0009,Parada,0.000932,Naranjo,0.000955,Rosales,0.000784,Pintos,0.000964,Terrones,0.00071,Lucas,0.000545554,Cordova,0.000801
Mondragon,0.000665,Alonso,0.000404,Leal,0.000707,Duarte,0.000683,Juarez,0.00077,Salvador,0.000788,Cortez,0.000935,Fajardo,0.00087,Gondola,0.00074,Polanco,0.00088,Esquivel,0.00058,Contreras,0.0009,Roa,0.00093,Rivas,0.000953,Ronquillo,0.000782,Aguirre,0.000947,Polo,0.00071,Tabarez,0.000545256,Alcala,0.000799
Medrano,0.000657,Garcia,0.000402,Barrera,0.000705,Tineo,0.000669,Palma,0.00076,Chivalan,0.000786,Cardenas,0.000932,Berrios,0.00087,Almengor,0.00073,Galicia,0.00088,Lencina,0.00058,Claure,0.00089,Mena,0.000926,Montenegro,0.000949,Valarezo,0.000781,Soto,0.000947,Gonzalez,0.00071,Marichal,0.000544662,Veliz,0.000799
Duarte,0.000655,Renta,0.000401,Merino,0.000703,Olivo,0.000664,Santamaria,0.00076,Paiz,0.000784,Carbajal,0.000928,Ocampo,0.00087,Lara,0.00073,Vigil,0.00087,Jaime,0.00057,Barba,0.00088,Briones,0.000923,Garces,0.000947,Marcillo,0.000773,Zorrilla,0.000943,Tuanama,0.00071,Montes de Oca,0.000539957,Narvaez,0.000795
Ventura,0.000652,Bolivar Aponte,0.000401,Tejeda,0.000678,Valera,0.000662,Cardenas,0.00076,Larios,0.00078,Garay,0.000923,Aguilera,0.00087,Quijada,0.00073,Anaya,0.00087,Cano,0.00057,Balcazar,0.00087,Huerta,0.000923,Salgado,0.00094,Macas,0.000772,Denis,0.000928,Carrion,0.0007,Sanguinetti,0.000539665,Castellano,0.000791
Balderas,0.000644,Toledo,0.000401,Pardo,0.000673,Beato,0.00066,Anchia,0.00075,Revolorio,0.000778,Galvez,0.000923,Baez,0.00086,Chacon,0.00072,Claros,0.00087,Lujan,0.00057,Laime,0.00087,Arevalo,0.000913,Julio,0.000939,Beltran,0.000765,Ocampo,0.000927,Arteaga,0.0007,Noble,0.000539374,Mejia,0.00079
Rico,0.000641,Pumarada Dahdah,0.0004,Lugo,0.000673,Linares,0.000657,Parra,0.00075,Fernandez,0.000776,Lorenzo,0.000916,Caballero,0.00086,Ledezma,0.00072,Nieto,0.00086,Espinoza,0.00056,Bustamante,0.00087,Jofre,0.000912,Oviedo,0.000937,Abad,0.000765,Yegros,0.000908,Yucra,0.0007,Robaina,0.000528821,Villasmil,0.000778
Aguilera,0.00064,Villanueva,0.000399,Ponce,0.000668,Then,0.000655,Ocampo,0.00075,Esquivel,0.000773,Delcid,0.000913,Pichardo,0.00086,Pino,0.00071,Chavarria,0.00085,Palacio,0.00056,Galarza,0.00086,Maturana,0.000912,Caballero,0.000935,Carrasco,0.000758,Aguayo,0.000903,Huarcaya,0.0007,Freitas,0.000526316,Borges,0.00077
Coronado,0.000639,Pena,0.000395,Carbonell,0.000668,Espaillat,0.000652,Barrientos,0.00074,Hidalgo,0.000767,Quiroz,0.000908,Contreras,0.00086,Quintana,0.00071,Bernal,0.00085,Villanueva,0.00056,Peralta,0.00086,Cancino,0.000903,Andrade,0.000933,Chica,0.000758,Alderete,0.000901,Tito,0.00069,Carbajal,0.000521648,Landaeta,0.000762
Arredondo,0.000633,Rentas,0.000394,Duarte,0.000662,Lorenzo,0.000651,Chaverri,0.00072,Xitumul,0.000763,Peralta,0.000905,Palacio,0.00086,Chong,0.0007,Zuniga,0.00084,Salvatierra,0.00056,Huallpa,0.00086,Suarez,0.000903,Fajardo,0.000929,Pico,0.000756,Osorio,0.000897,Sarmiento,0.00069,Gularte,0.000519751,Sarmiento,0.000762
Francisco,0.000632,Amadeo,0.000387,del Toro,0.000662,Ledesma,0.000649,Acevedo,0.00072,Caniz,0.000762,Pinto,0.000903,Barrios,0.00086,Escudero,0.0007,Cisneros,0.00084,Guerra,0.00056,Castellon,0.00086,Marquez,0.000898,Maldonado,0.000919,Espin,0.000756,Gutierrez,0.000889,Cerna,0.00069,Bravo,0.000517866,Atencio,0.000749
Escamilla,0.000625,Cruzado,0.000387,Chaviano,0.000661,Mieses,0.000648,Ovares,0.00069,Acabal,0.000751,Rosa,0.000898,Ampie,0.00085,Barahona,0.0007,Cartagena,0.00084,Barraza,0.00055,Crespo,0.00085,Faundez,0.000893,Barbosa,0.000913,Reinoso,0.000754,Aveiro,0.000864,Santiago,0.00069,Vaz,0.000514668,Alfonzo,0.000747
Palma,0.000618,Marin,0.000385,Pelaez,0.000656,Echavarria,0.000646,Canales,0.00069,Roman,0.000745,Sagastume,0.000898,Meneses,0.00084,Cisneros,0.0007,Orantes,0.00084,Bordon,0.00055,Reyes,0.00085,Tobar,0.000891,Villegas,0.000913,Paucar,0.000751,Mancuello,0.00085,Zavala,0.00068,Terra,0.000513611,Zamora,0.000747
Amador,0.000611,Viera,0.000377,Lima,0.000652,Meran,0.000646,Montiel,0.00069,Corado,0.000739,Barrientos,0.000895,Varela,0.00083,Valdez,0.0007,de Leon,0.00084,Saucedo,0.00055,Anez,0.00085,Beltran,0.000886,Villamizar,0.000909,Montero,0.000748,Barboza,0.000838,Machaca,0.00068,Lema,0.000503018,Oviedo,0.000747
Blanco,0.000605,Longo,0.000373,Sarmiento,0.00065,Camacho,0.000644,Corella,0.00068,Quinonez,0.000734,Mancia,0.000893,Serrano,0.00083,Lee,0.00069,Navas,0.00084,Ferrari,0.00055,Olivera,0.00084,Roman,0.000883,Barreto,0.000899,Rios,0.000745,Sotelo,0.000835,Ojeda,0.00067,Soca,0.00050226,Oliveros,0.000746
