Code,Type,Name,County
32234,Non-Unique,Jacksonville,Duval
32235,PO Box,Jacksonville,Duval
32236,PO Box,Jacksonville,Duval
32237,PO Box,Jacksonville,Duval
32238,PO Box,Jacksonville,Duval
32239,PO Box,Jacksonville,Duval
32240,PO Box,Jacksonville Beach,Duval
32241,PO Box,Jacksonville,Duval
32244,Non-Unique,Jacksonville,Duval
32245,PO Box,Jacksonville,Duval
32246,Non-Unique,Jacksonville,Duval
32247,PO Box,Jacksonville,Duval
32250,Non-Unique,Jacksonville Beach,Duval
32254,Non-Unique,Jacksonville,Duval
32255,PO Box,Jacksonville,Duval
32256,Non-Unique,Jacksonville,Duval
32257,Non-Unique,Jacksonville,Duval
32258,Non-Unique,Jacksonville,Duval
32259,Non-Unique,Saint Johns,Saint Johns
32260,PO Box,Jacksonville,Saint Johns
32266,Non-Unique,Neptune Beach,Duval
32277,Non-Unique,Jacksonville,Duval
32301,Non-Unique,Tallahassee,Leon
32302,PO Box,Tallahassee,Leon
32303,Non-Unique,Tallahassee,Leon
32304,Non-Unique,Tallahassee,Leon
32305,Non-Unique,Tallahassee,Leon
32308,Non-Unique,Tallahassee,Leon
32309,Non-Unique,Tallahassee,Leon
32310,Non-Unique,Tallahassee,Leon
32311,Non-Unique,Tallahassee,Leon
32312,Non-Unique,Tallahassee,Leon
32313,Unique,Tallahassee,Leon
32314,PO Box,Tallahassee,Leon
32315,PO Box,Tallahassee,Leon
32316,PO Box,Tallahassee,Leon
32317,Non-Unique,Tallahassee,Leon
32318,PO Box,Tallahassee,Leon
32320,Non-Unique,Apalachicola,Franklin
32321,Non-Unique,Bristol,Liberty
32322,Non-Unique,Carrabelle,Franklin
32323,PO Box,Lanark Village,Franklin
32324,Non-Unique,Chattahoochee,Gadsden
32326,PO Box,Crawfordville,Wakulla
32327,Non-Unique,Crawfordville,Wakulla
32328,Non-Unique,Eastpoint,Franklin
32329,PO Box,Apalachicola,Franklin
32330,Non-Unique,Greensboro,Gadsden
32331,Non-Unique,Greenville,Madison
32332,Non-Unique,Gretna,Gadsden
32333,Non-Unique,Havana,Gadsden
32334,Non-Unique,Hosford,Liberty
32335,PO Box,Sumatra,Liberty
32336,Non-Unique,Lamont,Jefferson
32337,PO Box,Lloyd,Jefferson
32340,Non-Unique,Madison,Madison
32341,PO Box,Madison,Madison
32343,Non-Unique,Midway,Gadsden
32344,Non-Unique,Monticello,Jefferson
32345,PO Box,Monticello,Jefferson
32346,Non-Unique,Panacea,Franklin
32347,Non-Unique,Perry,Taylor
32348,Non-Unique,Perry,Taylor
32350,Non-Unique,Pinetta,Madison
32351,Non-Unique,Quincy,Gadsden
32352,Non-Unique,Quincy,Gadsden
32353,PO Box,Quincy,Gadsden
32355,Non-Unique,Saint Marks,Wakulla
32356,Non-Unique,Salem,Taylor
32357,PO Box,Shady Grove,Taylor
32358,Non-Unique,Sopchoppy,Wakulla
32359,Non-Unique,Steinhatchee,Dixie
32360,PO Box,Telogia,Liberty
32361,PO Box,Wacissa,Jefferson
32362,PO Box,Woodville,Leon
32395,Unique,Tallahassee,Leon
32399,Non-Unique,Tallahassee,Leon
32401,Non-Unique,Panama City,Bay
32402,PO Box,Panama City,Bay
32403,Non-Unique,Panama City,Bay
32404,Non-Unique,Panama City,Bay
32405,Non-Unique,Panama City,Bay
32406,PO Box,Panama City,Bay
32407,Non-Unique,Panama City Beach,Bay
32408,Non-Unique,Panama City,Bay
32409,Non-Unique,Panama City,Bay
32410,PO Box,Mexico Beach,Bay
32411,PO Box,Panama City,Bay
32412,PO Box,Panama City,Bay
32413,Non-Unique,Panama City Beach,Bay
32417,PO Box,Panama City,Bay
32420,Non-Unique,Alford,Jackson
32421,Non-Unique,Altha,Calhoun
32422,PO Box,Argyle,Walton
32423,Non-Unique,Bascom,Jackson
32424,Non-Unique,Blountstown,Calhoun
32425,Non-Unique,Bonifay,Holmes
32426,Non-Unique,Campbellton,Jackson
32427,Non-Unique,Caryville,Washington
32428,Non-Unique,Chipley,Washington
32430,Non-Unique,Clarksville,Calhoun
32431,Non-Unique,Cottondale,Jackson
32432,PO Box,Cypress,Jackson
32433,Non-Unique,DeFuniak Springs,Walton
32434,PO Box,Mossy Head,Walton
32435,Non-Unique,DeFuniak Springs,Walton
32437,Non-Unique,Ebro,Washington
32438,Non-Unique,Fountain,Bay
32439,Non-Unique,Freeport,Walton
32440,Non-Unique,Graceville,Jackson
32442,Non-Unique,Grand Ridge,Jackson
32443,Non-Unique,Greenwood,Jackson
32444,Non-Unique,Lynn Haven,Bay
32445,Non-Unique,Malone,Jackson
32446,Non-Unique,Marianna,Jackson
32447,PO Box,Marianna,Jackson
32448,Non-Unique,Marianna,Jackson
32449,Non-Unique,Wewahitchka,Calhoun
32452,PO Box,Noma,Holmes
32455,Non-Unique,Ponce De Leon,Walton
32456,Non-Unique,Port Saint Joe,Gulf
